FID,F_id,power,ObjID,pop_densit,road,building_3,cluster_id,priority_s,a,POINT_X,POINT_Y
88,node/8550784322,tower,12371,69457.23959,1705.83548,0.000238212,0,-2.473092733,0.05472243,37742889.24,2561424.253
89,node/8550784325,tower,12374,71688.99211,1705.83548,0.000238212,0,-2.60964716,0,37742865.26,2561436.166
90,node/8550784338,tower,12387,65684.94019,1705.83548,0.000235235,0,-2.235099076,0.150095326,37743009.58,2561539.602
91,node/8550784339,tower,12388,63196.85495,1705.83548,0.000238142,0,-2.093494978,0.206841347,37743064.6,2561546.516
92,node/8550561711,tower,11146,63011.93831,1705.83548,0.000231834,0,-2.063770488,0.218753054,37742968.39,2561621.153
93,node/8550561713,tower,11148,62480.14357,1705.83548,0.000231834,0,-2.031586457,0.231650391,37742987.6,2561623.239
94,node/8550561715,tower,11150,58418.35398,1705.83548,0.000231834,0,-1.787707298,0.329381826,37743011.39,2561631.286
95,node/8550784324,tower,12373,58224.51033,1633.767639,0.00022552,0,-1.71378719,0.359004359,37742917.24,2561680.463
96,node/8550784337,tower,12386,52219.18312,1633.767639,0.000224106,0,-1.342457375,0.507810006,37743043.95,2561691.548
97,node/8550784323,tower,12372,53957.39951,1589.364543,0.00022552,0,-1.4315769,0.472096502,37742955.04,2561706.228
98,node/8550784336,tower,12385,39294.14781,1532.620392,0.000217067,0,-0.485908809,0.851060825,37743077.3,2561846.56
99,node/8550784334,tower,12383,38289.22153,1532.620392,0.000211447,0,-0.404331644,0.883751825,37743063.34,2561877.091
100,node/8550784333,tower,12382,38956.19671,1532.620392,0.000211447,0,-0.44607505,0.867023692,37743043.1,2561887.413
101,node/8550784329,tower,12378,38989.35418,1532.620392,0.000211447,0,-0.448153277,0.866190869,37743023.02,2561887.774
102,node/8550784331,tower,12380,40341.15856,1532.620392,0.000209373,0,-0.53018533,0.833317579,37742962.39,2561888.427
103,node/8550784330,tower,12379,38197.40086,1532.620392,0.000209373,0,-0.394733967,0.88759797,37742996.82,2561909.77
104,node/8550784335,tower,12384,26904.7331,1532.620392,0.00020087,0,-0.339239894,0.909836506,37743113.53,2562036.6
