a,POINT_X,POINT_Y
0.024338706750000,12614752.571100000292063,2639361.629910000134259
0.034043056780600,12614765.706800000742078,2639644.840059999842197
0.028409691075600,12614797.354900000616908,2640180.639529999811202
0.027955061682100,12614783.172800000756979,2639922.368530000094324
0.042234187459100,12614507.133899999782443,2640499.678720000199974
0.033325438515400,12614817.659600000828505,2640436.978699999861419
0.029491314892600,12615041.144600000232458,2640349.487050000112504
0.027064911326300,12615435.872400000691414,2639610.345939999911934
0.030121143520200,12615460.062100000679493,2640064.340849999804050
0.026421341053400,12615443.787200000137091,2639827.571779999881983
0.030106968895400,12615352.416200000792742,2640228.407889999914914
0.030241680514000,12615649.950899999588728,2640115.992750000208616
0.031389148064100,12615887.328600000590086,2640020.747200000099838
0.029879970440400,12616172.028200000524521,2639911.467180000152439
0.027154500876500,12616442.835100000724196,2639806.809739999938756
0.028630658090200,12616667.377699999138713,2639717.542919999919832
0.029718359857300,12616613.476800000295043,2639780.542640000116080
0.029509997784500,12617008.204500000923872,2639625.578519999980927
0.029313464805200,12617465.182199999690056,2639448.511309999972582
0.032748877277100,12618903.006999999284744,2639825.781119999941438
0.033325957744600,12618906.290899999439716,2640215.280050000175834
0.033301344747900,12618977.802600000053644,2640304.706890000030398
0.034351760927100,12619218.308299999684095,2640612.689389999955893
0.036037384588800,12619453.292600000277162,2640927.090679999906570
0.035027031040000,12619617.967599999159575,2641145.507799999788404
0.035561846055400,12619606.023000000044703,2641329.587390000000596
0.036162682133100,12619583.480799999088049,2641587.263600000180304
0.034314848482500,12619568.096400000154972,2641787.006310000084341
0.028173503006700,12619544.062500000000000,2641798.211440000217408
0.037451159604800,12619561.684399999678135,2641569.645419999957085
0.035601424214900,12619582.434399999678135,2641337.646139999851584
0.034999586698200,12619598.108200000599027,2641162.532620000187308
0.032998359538700,12619407.607100000604987,2640910.671089999843389
0.034434146780200,12619171.287000000476837,2640606.566949999891222
0.033301344747900,12618965.256799999624491,2640336.951979999896139
0.033347156753000,12618815.676799999549985,2640143.760710000060499
0.033408359825400,12618695.039899999275804,2640046.276630000211298
0.056375590867800,12618445.728800000622869,2639910.269359999801964
0.095860823913900,12618162.075600000098348,2639759.937940000090748
0.030422550599100,12617922.171000000089407,2639633.188759999815375
0.029471643303400,12616980.586200000718236,2639602.288050000090152
0.028985456400300,12617237.511600000783801,2639494.196520000230521
0.029249039672800,12617476.982000000774860,2639401.047699999995530
0.030385380990400,12617709.728800000622869,2639524.649370000232011
0.029220318287200,12617213.366399999707937,2639600.194939999841154
0.029403527549800,12617532.062899999320507,2639474.487499999813735
0.096860784142500,12619108.213300000876188,2642865.189790000207722
0.182859747567000,12615124.745500000193715,2642246.979280000086874
0.172715557343000,12615124.155600000172853,2642106.645729999989271
0.077902640273800,12615123.109200000762939,2641947.944550000131130
0.061224059646700,12615122.507999999448657,2641765.213219999801368
0.040522267954900,12615292.403799999505281,2641764.317780000157654
0.041507043729100,12615472.296099999919534,2641763.724849999882281
0.113065098344000,12615630.247400000691414,2641764.475089999847114
0.079396544458400,12615819.100899999961257,2641772.534049999900162
0.118065304120000,12615894.942800000309944,2641783.581859999801964
0.075269770545000,12616000.785399999469519,2641804.177019999828190
0.065450089804300,12616164.258099999278784,2641841.507319999858737
0.041529085765800,12616281.310499999672174,2641868.370680000167340
0.029986483332400,12616414.771500000730157,2641898.089829999953508
0.034027574474000,12616556.603599999099970,2641930.325970000121742
0.028790700207800,12616734.102600000798702,2641970.197709999978542
0.027643954921400,12616912.658999999985099,2642007.661510000005364
0.063145485489800,12617090.313799999654293,2642048.719320000149310
0.037306070318300,12617206.609300000593066,2642068.128940000198781
0.036088975999600,12617269.170800000429153,2642083.799440000206232
0.046278160734700,12617361.276599999517202,2642107.541189999785274
0.029456696256700,12617447.126199999824166,2642131.573390000034124
0.073046933980100,12617516.689699999988079,2642151.733359999954700
0.106329159775000,12617599.990100000053644,2642177.108829999808222
0.057736503331700,12617698.229499999433756,2642206.066190000157803
0.028238682368300,12617806.020199999213219,2642239.367819999810308
0.035716219101300,12617871.253399999812245,2642259.225399999879301
0.039359559779900,12617936.943099999800324,2642279.228219999931753
0.030228350541900,12617742.267500000074506,2639339.682779999915510
0.037837734103200,12618063.546700000762939,2639126.347089999821037
0.029065534869000,12618102.141200000420213,2639167.373430000152439
0.030286600634600,12617800.042300000786781,2639368.792369999922812
0.033761008650200,12618930.480599999427795,2639070.064590000081807
0.056220728518900,12618790.596599999815226,2638891.660490000154823
0.034264822988500,12618711.771199999377131,2638776.254199999850243
0.034184004226900,12618632.188899999484420,2638739.983469999860972
0.028917896475200,12618340.030899999663234,2638940.925280000083148
0.028955578511500,12618391.838999999687076,2638974.220240000169724
0.034206236955200,12618659.662599999457598,2638779.992579999845475
0.035010414617700,12618908.984799999743700,2638605.172730000223964
0.039845852773500,12619210.549300000071526,2638394.520330000203103
0.017206971668400,12609143.193099999800324,2639522.471570000052452
0.016016800160200,12609575.981000000610948,2639768.358880000188947
0.131869548549000,12609977.276599999517202,2640221.462840000167489
0.105257862489000,12609876.076099999248981,2640039.029180000070482
0.063566475972700,12609788.723699999973178,2639887.196270000189543
0.151300939306000,12610062.825699999928474,2640395.235280000139028
0.160857246905000,12610154.185599999502301,2640586.021710000000894
0.146317666310000,12610136.875399999320507,2640713.964079999830574
0.114964789170000,12610089.241800000891089,2640987.469390000216663
0.114261957544000,12610073.423299999907613,2641173.785720000043511
0.077092460045100,12610052.072200000286102,2641503.722579999826849
